=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:16 PM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM    4   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:24:16 PM    5   87.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.00
11:24:16 PM    6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:24:16 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:16 PM    9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM   10   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:16 PM   12    5.05    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:24:16 PM   13    9.09    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   85.86
11:24:16 PM   14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM   15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM   16   11.11    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   81.82
11:24:16 PM   17    6.06    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   87.88
11:24:16 PM   18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM   19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   51.70    0.00    1.35    0.05    0.00    0.00    0.00    0.00    0.00   46.89
Average:       0    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
Average:       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
Average:       5   87.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.00
Average:       6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
Average:       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      10   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      12    5.05    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   88.89
Average:      13    9.09    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   85.86
Average:      14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      16   11.11    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   81.82
Average:      17    6.06    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   87.88
Average:      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
