"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
280,1.313,0.848,1.902,0.597,1.465,1.295,1.420,1.813,0.803,1.800,1.722,2.584,1.051,0.776,0.759,5.090,4.223,4.504,4.558,5.263,5.148,5.954,5.111,4.196,4.308,3.612,4.339,4.719,5.261,5.409
281,1.294,0.834,1.875,0.585,1.443,1.283,1.396,1.787,0.788,1.777,1.704,2.557,1.049,0.786,0.774,5.033,4.168,4.452,4.505,5.204,5.090,5.890,5.054,4.147,4.260,3.569,4.285,4.671,5.207,5.354
282,1.270,0.822,1.838,0.590,1.415,1.273,1.380,1.752,0.800,1.749,1.673,2.511,1.020,0.776,0.746,4.956,4.102,4.389,4.435,5.128,5.019,5.810,4.981,4.094,4.203,3.517,4.220,4.609,5.137,5.285
283,1.246,0.787,1.805,0.565,1.387,1.239,1.348,1.713,0.777,1.719,1.647,2.474,1.005,0.746,0.739,4.891,4.044,4.331,4.373,5.058,4.953,5.736,4.919,4.041,4.150,3.469,4.167,4.548,5.071,5.217
284,1.225,0.784,1.773,0.563,1.361,1.221,1.340,1.691,0.777,1.695,1.620,2.441,0.980,0.748,0.734,4.826,3.984,4.273,4.312,4.991,4.884,5.662,4.851,3.985,4.097,3.422,4.108,4.491,5.014,5.157
285,1.201,0.778,1.739,0.553,1.335,1.209,1.319,1.667,0.770,1.670,1.599,2.408,0.980,0.728,0.721,4.749,3.920,4.212,4.251,4.919,4.819,5.589,4.787,3.932,4.044,3.374,4.044,4.433,4.951,5.089
286,1.179,0.759,1.706,0.547,1.307,1.185,1.297,1.638,0.754,1.641,1.568,2.367,0.963,0.720,0.701,4.685,3.858,4.151,4.185,4.848,4.747,5.512,4.712,3.875,3.988,3.325,3.990,4.373,4.883,5.026
287,1.157,0.741,1.676,0.524,1.282,1.165,1.274,1.603,0.741,1.612,1.539,2.333,0.938,0.703,0.686,4.611,3.798,4.095,4.127,4.782,4.684,5.435,4.646,3.823,3.939,3.280,3.932,4.316,4.821,4.959
288,1.135,0.726,1.645,0.517,1.257,1.148,1.257,1.582,0.731,1.587,1.519,2.300,0.927,0.693,0.686,4.543,3.741,4.038,4.065,4.714,4.613,5.361,4.583,3.771,3.884,3.234,3.877,4.256,4.757,4.897
289,1.112,0.709,1.610,0.501,1.230,1.124,1.232,1.551,0.718,1.556,1.490,2.262,0.907,0.677,0.661,4.474,3.681,3.972,4.003,4.639,4.544,5.280,4.507,3.710,3.823,3.185,3.819,4.195,4.688,4.824
290,1.091,0.703,1.581,0.495,1.206,1.109,1.221,1.531,0.723,1.535,1.468,2.232,0.896,0.679,0.656,4.407,3.624,3.916,3.941,4.573,4.479,5.205,4.442,3.660,3.774,3.145,3.766,4.140,4.629,4.763
